,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend
10,awliapram,19 - 24,",19 - 24",27 Sep 2024,"Udah pake sunscreen ini semenjak awal kuliah dan sangatlah cocok di kulit, cepet banget menyerap, dan ringan di kulit. Biasanya selalu reaply beberapa kali dalam sehari dan produk ini bikin kulit moist banget. Wajib nyetok produk ini di rumah",More than 1 year,Brand Website,awliapram recommends this product!
11,Lixx,19 - 24,"Combination, Medium Dark, Neutral",27 Sep 2024,"Ringan banget!! Terus gampang di blend juga, ga bikin keset sama ga bikin lengket. Gampang banget dicari produknya, kalau habis restocknya cepet pake banget banget. Affordable sangat! Salah satu sunscreen paling worth dengan spf tinggi!",More than 1 year,Shopee,Lixx recommends this product!
12,abiabigail,35 - 39,"Combination, Medium Light, Neutral",27 Sep 2024,"Azarine sunscreen yang aki butuhkan untuk kulit sensitive ku, melindungi dari sinar matahari ketika ada di outdoor, bikin gak was was ketika sudah di luar ruangan, dan produk ini sudah aku pake setahun",6 months - 1 year,Shopee,abiabigail recommends this product!
13,khoirinida,25 - 29,"Combination, Medium, Warm",26 Sep 2024,"Sunscreen spf 50 yg ringan, no whitecast, ga kerasa berat. Di wajah juga ga lengket dan gampang nyerepnya! Udah repurchase ini berkali2, harga juga masih terjangkau bgtttt. Btw kulit aku normal to oily, pake ini cocok2 aja. Sampe skrg blm pindah ss yg lain sih",3 months - 6 months,Shopee,khoirinida recommends this product!
14,istyajaa,19 - 24,"Dry, Medium Light, Neutral",21 Sep 2024,"Aku pakai produk ini dari awal kuliah dan sukak bangett... karena teksturnya sangat melembabkan di kulit aku yang kering, untuk sehari-hari juga ringan banget, dipake diatas make up juga oke, gk merusak make up diatasnya. Selain itu, setelah pemakaian cukup lama aku ngerasa kulit aku cerahan banget dan gak kusam karena produk ini ada kandungan vitamin C yang bikin kuliat aku tampak sehat dan cerah",More than 1 year,Shopee,istyajaa recommends this product!
15,Tia_Intan,25 - 29,"Dry, Medium Light, Neutral",21 Sep 2024,"Sunscreen Azarine ini nyaman, tidak lengket ketika diapply. Teksturnya creamy, lembut dan finishnya langsung nge-set gitu jadi kerasa nyaman banget pakenya. SPF nya 50 jadi oke banget buat dipake saat ada aktivitas outdoor, dan harganya juga terjangkau.",1 month - 3 months,Shopee,Tia_Intan recommends this product!
16,pidharully,25 - 29,"Dry, Medium Light, Neutral",21 Sep 2024,"Seneng bgt pas nemu sunscreen lokal yg gentle!🤩 beneran gada bau apapun selain bau kimia, tp ga ganggu kok, pas diapply baunya bener2 ilang.Teksturnya light lotion, superduper gampang diratain! No whitecast👍🏻 enteng bgt feelnya dan ga oily, finishnya beneran skinlike dan cepet bgt ngesetnya. Jd kalo mau pake complexion yg skin-like alias ga terlalu glowy, aku suka pake sunscreen ini.Minusnya cuma lebih pedih drpd skin aqua kalo kena mata pas kecampur keringet atau kena air waktu cuci muka.",1 month - 3 months,Shopee,pidharully recommends this product!
17,jcca1998,25 - 29,",25 - 29",18 Sep 2024,"Udh banyak coba sunscreen dan rata2 lengket berminyak bikin breakout, smp akhirnya cobain azarine trnyata bagus pol, menyerap di kulit, ga lengket, no white cast, enteng bgt dimuka dan harganya murah ! Cocok bgt ga bikin breakout juga, malah jd bagus kulitnya ! Ini udh botol kelima ku ! Dan msh ada stock 3 pcs ! Hehehe",More than 1 year,Shopee,jcca1998 recommends this product!
18,pratiwisaraswati,25 - 29,"Combination, Medium, Neutral",18 Sep 2024,"Memutuskan coba sodaranya si ijo karena butuh vit c biar ngga kusam, and it worked! Teksturnya gel agak creamy, finishnya matte, dan gampang diblend nya. Ngga bikin gerah, kerasa pas aja gitu. Setelah pakai beberapa lama, wajah agak cerahan, suka deh!",1 month - 3 months,Tokopedia,pratiwisaraswati recommends this product!
19,arzahra,25 - 29,"Combination, Medium Light, Neutral",17 Sep 2024,"Ss Azarine terfavorite😍😍 udah ada kandungan Vitamin C yang bagus buat kulit cerah dan glowing 😙 Teksturnya gel ringan, lembab, dan satin finish—nyaman dan ga sumuk buat combi-oily skin ✨Mau dipakein makeup atau tanpa makeup sama sama cakep🧡",3 months - 6 months,Tokopedia,arzahra recommends this product!
