Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
10,madkied,18 and Under,"Combination, Medium Light, Cool",2024-06-30,"Udah ga keitung berapa kali repurchase, texturenya milky gel, ga bikin muka gerah walau pakenya banyak, cepat nyerep ke kulit juga. Gaada whitecast sama sekali, dan yang paling aku suka ini ada efek coolingnya! Muka jadi seger banget apalagi pas reapply",6 months - 1 year,Official Brand Store,madkied recommends this product!,5
11,airaaae,19 - 24,"Combination, Light, Neutral",2024-06-30,"menurutku ini sunscreen teringan yang pernah kupake dan sunscreen yang ter dabes buat oily skin karna dia hasil nya mate gitu terus gaada rasa gerah di muka gitu yang buat oily jadi ini cocok banget buat oily skin sih tapi menurutku karna dia gel ukuran segini dikit banget azarineeee, bisa yuk buat yg lebih banyak isinya",1 month - 3 months,Shopee,airaaae recommends this product!,5
12,fris_frisca27,25 - 29,"Oily, Medium Light, Cool",2024-06-29,"Salah satu sunscreen kecintaanku, ss ini cepet banget meresap dikulit, dan ga lengket sama sekalii ❤️❤️❤️ apalagi ga ada whitecast, dan ga ada parfume nya 🤩 tapi aku berasa ss ini agak kering di mukaku yg kombinasi. Tapi overall bagus banget ga bikin kusam dan ringan banget dipakainya, jadinya ga malas kalau harus reapply sunscreen",3 months - 6 months,Shopee,fris_frisca27 recommends this product!,5
13,lil_manobal_lyrio,19 - 24,"Combination, Medium Light, Neutral",2024-06-29,"Sunscreen paling ga neko2 sih, muka aku dalam kondisi apapun ini sunscreen gapernah bikin masalah baruu😭🩷 lopp bangett sama sunsc azarine yg iniii 🥰 kalian yg gapernah coba pliss cobainn, diatas make up juga ga ngerusak make up samsek gabikin make up geserrr, dibikin panas2an juga mempan bgttpdhl ini sunscreen ringan poll tpi proteksinya wow bgt😋",More than 1 year,Shopee,lil_manobal_lyrio recommends this product!,5
14,sucisanti,30 - 34,"Dry, Dark, Warm",2024-06-28,The best sunscreen yang pernah aku coba.No whitecast. Cepat meresap & ga kerasa lengket. Tekstur ringan dan harga affordable banget. Tekstur gel & SPF 45 nya cukup untuk sehari hari.Selalu cocok dengan produk Azarine. A must have produt!,6 months - 1 year,Shopee,sucisanti recommends this product!,5
15,FloArini,25 - 29,"Dry, Medium Light, Neutral",2024-06-28,"Aaah cinta banget sama sunscreen ini, udah kurang kebih 2 tahun pake ss ini. Di tipe kulit aku yg kering + sensitive this product works SO GOOD. Nggak lengket sama sekali, mau untuk sehari-hari ataupun ditimpa make up tebel juga aman nggak cakey 😍",More than 1 year,Shopee,FloArini recommends this product!,5
16,hawaa_rf,18 and Under,"Combination, Medium Light, Neutral",2024-06-27,"Sejauh ini, inilah sunscreen yang kalo dipake kerasa ga pake sunscreen🫵🏻😭. Bener bener ringan dan cepet nyerap ke kulit. Dia gel texture jadi gaada whitecast sama sekali. Untuk tipe kulit seperti aku, dia gak bikin kusam. And pake sunscreen untuk jdi skin prep sebelum make up di pagi/siang hari aja udah cukup untuk aku jdi gaperlu moist lagi. Acne friendly banget dan non comedogenic. Aku udah pake ini 2 tahun! dan terus repurchase",More than 1 year,Traditional Market,hawaa_rf recommends this product!,5
17,madnight,18 and Under,"Combination, Light, Neutral",2024-06-26,"ini sunscreen keduaku yg aku coba, awalnya emg fine-fine aja di muka aku, bahkan cocok! tapi lama-lama buat kusam dan berminyak di bbrp area wajahku. tapi so far gak menimbulkan jerawat, jadii okee kok untuk dibuat sehari-hari.",More than 1 year,Guardian,madnight recommends this product!,4
18,tifaty_,30 - 34,"Combination, Medium Dark, Warm",2024-06-24,"finaly ketemu yg cocok di kulit aku, udah coba banyak sunscreen cuma ini yg repurchase sampe sekarang.. tekstrunya ringan dan cepat menyerap kalau kena sinar matahari gak bikin muka meleleh suka banget",More than 1 year,Shopee,tifaty_ recommends this product!,5
19,elviagrd,25 - 29,"Dry, Light, Neutral",2024-06-23,"Sunscreen kecintaan aku, gaada whitecast, cepet nyerap dan gampang di blend, dipakein make up jg ok bgtt, harganya murahhh, isinya banyaaakk beneran ga kopongg gitu lho, udah repurchase gatau berapa kali pokoknya seluv ituuuuu❤️❤️ must haveeeee",More than 1 year,Shopee,elviagrd recommends this product!,5
20,deeviw,30 - 34,"Combination, Medium Light, Neutral",2024-06-23,"jadi pertama kali nyobain azarine karena rekomendasi dari dokter. ternyata produknya bagus banget. pernah pas ikut tes suncreen gitu, padahal pake dimukanya ga banyak, eh, pas dites ke cover sunscreen dong mukanya. argghh, the best dehh pokoknya",1 week - 1 month,Shopee,deeviw recommends this product!,5
21,anindychj,19 - 24,"Normal, Medium Dark, Warm",2024-06-22,"Siapaaaa yang gatau sunscreen ini?? No whitecast, cepet meresap, gabikin kering, gabikin kusam jugaa, kalian perlu cobainnnn, terus juga terjangkau, gelnya juga melembabkan, di aku agak perih dimata, tapi dingin dikulit, dia gel tapi bukan yang wateri gituuu, kalian harus cobainnn ss kecintaan banyak umat ini!!!",More than 1 year,Shopee,anindychj recommends this product!,5
22,safiradeandra,25 - 29,"Combination, Medium, Warm",2024-06-22,"Sunscreen sejuta umat ya haha.Meskipun teksturnya gel, aku merasa sunscreen ini agak terasa melembabkan.Aman dipakai sebelum makeip, karena gak bikin jadi peeling.Saat hamil aku juga pakai ini, dan alhamdulillah aman aman aja di kulit",More than 1 year,Female Daily Studio,safiradeandra recommends this product!,4
23,Moch,19 - 24,"Oily, Light, Cool",2024-06-21,"Sunscreen chemical yang reall cocok untuk aku. Beneran ampuh dan juga hydrate kulitku. Blendnya gampang bangett, sekali swipe udah nyatuh no drama. Sudah sering beli dan jadi sunscreen terbaik aku. Reapply pas makeup berat juga baguss makeup gak geser.",More than 1 year,Shopee,Moch recommends this product!,5
24,angel300997,25 - 29,"Oily, Medium Light, Neutral",2024-06-21,"It’s a must product! Gatau kenapa udah coba beberapa sunscreen, tapi i ended with this sunscreen! Cocok buat kulitku yang super oily, jadi picky banget buat pilih skincare termasuk sunscreen. But this one is luv!",More than 1 year,Shopee,angel300997 recommends this product!,5
25,afifahardi,19 - 24,"Oily, Medium Dark, Neutral",2024-06-20,salah satu sunscreen andalan aku. cocok bangettt dikulitku yang berminyak. tekstur nya gel dan cepat banget meresapnya. dia ngasih efek glowing setelah diaplikasiin tapi ga becek yang makin berminyak gitu. bekas jerawat aku jg semakin pudar karna dia.. soalnya aku pernah drop skincare dan cuma pake fw sama sunscreen tapi ternyata bekas jerawatku bisa memudar 😭,6 months - 1 year,Shopee,afifahardi recommends this product!,5
26,husnafadh,19 - 24,"Normal, Medium Light, Neutral",2024-06-20,"Aku pernah pakai produk ini nyobain karena sunscreen biasa aku udah habis. Karena azarine ini banyak tersedia dimana mana jadi mudah didapatkannya. Pemakaian produk sampe habis aku gapunya komplain sama produk ini karena ringan di wajah dan tidak whitecast, berfungsi sebagaimana sunscreen.",6 months - 1 year,Alfamart,husnafadh recommends this product!,4
27,khuusnlf,19 - 24,"Combination, Medium Light, Neutral",2024-06-19,"Sunscreen yang sangat ringan for combination skin, gak whitecast, easy to blend. Bagus banget buat base makeup bikin makeup aku nempel. gampang dicari, di alf4m4ret atau 1nd0maret juga adaa. Definately worth every penny!",1 month - 3 months,Watson,khuusnlf recommends this product!,5
28,melisutanto,25 - 29,"Normal, Medium Light, Neutral",2024-06-19,"Udah habis 2 botol, padahal aku banyak sunscreen lain. Sunscreennya azarine emang yang ter the best karena teksturnya ringaaaann banget, gampang nyerep ke kulit dan bener bener ga lengket, ga berat, ga aneh aneh. Sunscreen ini selalu ada di mobil ku.",More than 1 year,Shopee,melisutanto recommends this product!,5
29,ratrirasr,19 - 24,"Oily, Medium, Neutral",2024-06-18,"GLAD TO KNOW YOU MY DEAREST HYDRASHOOTE SUNSCREEN GEL BY AZARINE!! Sekali pun aku suka produk ini tapi masih ada minusnya sih, masih agak perih di mata kalau dalam waktu yang lama (memang sepertinya ini PR untuk brand apapun yg punya produk sunscreen yah). Cumaaaan, produk Azarine yang ini tuh light sekali, mudah diaplikasikan, dan oke banget di kulitku gak ada tingling sensation atau timbul bruntusan gitu aaah makanya betah aku!🫶",More than 1 year,Shopee,ratrirasr recommends this product!,5
30,noviatriii,19 - 24,"Normal, Medium, Neutral",2024-06-17,Bagussss loh inii dia teksturnya gak yg thick dan feelsnya light aja gitu!!! Aku berasa gapake sunscreen kalo pakai ini😂😂 aku tipe yang pake sunscreen yg tebel gitu tapi di aku gak peeling dan ga bikin greasy,1 week - 1 month,Lazada,noviatriii recommends this product!,5
31,felisaasf,18 and Under,"Oily, Medium Light, Neutral",2024-06-16,"salah satu sunscreen yang bagus buat kulit berminyak karena gak bikin kulit jadi lebih berminyak justru habis pake sunscreen ini kulit jadi matte jadi bagus banget, gak perih di mata juga. YANG NYARI SUNSCREEN GAK NEKO-NEKO INI COCOK BANGETTT",3 months - 6 months,Shopee,felisaasf recommends this product!,5
32,Astridssan,25 - 29,"Dry, Medium Dark, Warm",2024-06-16,"Pakai ini benar-benar ringan, no white cast, easy to blend, cepat meresap. Di kulitku cocok banget, dengan pemakaian rutin jadi jarang jerawatan. Minus di packaging aja menurutku, bagus cuma bukan seleraku aja.",More than 1 year,Shopee,Astridssan recommends this product!,5
33,amovrevcrixn,19 - 24,"Combination, Light, Neutral",2024-06-15,"Beli ini karena lagi ada diskon waktu itu hihi lumayann. Untuk sunscreen sebenernya aku bingung sih efektivitasnya gimana, soalnya aku juga setelah pakai ini tetep menghindari sinar matahari jadi emang pasti kulitnya ga gosong, tapi selama aku pakai ini nyaman kok di muka ga berat, sayangnya di aku sunscreennya kadang peeling kadang ngga tapi issokay aku tetep pakai sampai habis",1 month - 3 months,Shopee,amovrevcrixn recommends this product!,3
34,anakbarbar123,18 and Under,"Combination, Medium Light, Neutral",2024-06-15,"Awalnya beli karena rekomendasi dari temen yang tipe kulitnya sama, kombinasi-oily skin. Tapi pas aku pake jujur aja kurang, emang ini awalnya ringan karena gel tapi ngesetnya lama dan jatuhnya jadi lengket gitu. Also ini baunya di aku lumayan nusuk (dari pengalaman yang tekstur gel emang nusuk bau kimianya). Terus cepet ilang dan juga jadi bikin bruntusan di aku.",1 month - 3 months,Shopee,anakbarbar123 doesn't recommend this product!,3
35,Adhesia,19 - 24,"Normal, Medium Light, Neutral",2024-06-14,"Worth the price sii. Tekstunya agak cair dan ga lengket, tapi butuh waktu buat ngeresap sepenuhnya. Waktu dipake juga ada efek dingin bahkan meskipun lagi terpapar sinar matahari. Tapi tetep harus reapply. Cukup bagus dan cocok di kantong pelajar",1 month - 3 months,Shopee,Adhesia recommends this product!,4
36,baefather,30 - 34,"Oily, Medium, Cool",2024-06-10,Coba ini karena banyak yang review dan bagus. teksturnya gel dan ringan jd cepet nyerepnya tapi pas dipake lama kelamaan muka jadi berasa kusam gitu. harganya terjangkau. minusnya di aku ini bikin wajah kusam,1 week - 1 month,Super Indo,baefather recommends this product!,4
37,anisadyi,25 - 29,"Oily, Medium Light, Warm",2024-06-10,"Ringan banget dipakai sebagai daily sunscreen. Teksturnya gel, dan ketika di blend, cepat meresapnya. Tidak ada white cast, dan untuk kulitku yg oily dia gak bikin wajah makin berminyak. Dipakai sebelum foundation juga tidak peeling. Selama pemakaian, pernah dipakai untuk panas panasan di pantai juga tidak bikin sunburn, atau belang. Sudah repurchase berkali kali 🩷",3 months - 6 months,Shopee,anisadyi recommends this product!,5
38,shenkyu,30 - 34,"Dry, Medium, Warm",2024-06-09,susnscreen rekomendasi dari pilihan dr halodoc aku coba pilih ini awal nya karna harga yg terjangkau juga ..tpi kaya nya aku kurang suka sama tektur nya dan finis ngebuat kulit jadi lengkethuhu sepertinya kita gak jodoh,Less than 1 week,Tiktok,shenkyu doesn't recommend this product!,4
39,Nurulskrr_834,19 - 24,"Oily, Medium, Neutral",2024-06-09,riview aku selama pakai sunscreen azarine ini lumayan bagus dan hasil akhirnya tidak ngebuat kulit kusam dan menurutku cocok untuk tipe kulit yang berminyak karena hasilnya yang lumayan mate dan untuk harganya juga cukup affordable dikalangan pelajar,1 month - 3 months,Shopee,Nurulskrr_834 recommends this product!,4
40,sitinurkhalizah9,19 - 24,"Combination, Medium Light, Neutral",2024-06-08,"Suncreen bagus banget dan testurnya ringat banget baut di kulit, engga bikin white case di muka juga. Harganya juga terjangkau banget ko. Dan bisa melindungin matahari karna tersapat 45++++ SPF nya dan mudah beli dimana mana melalui E-Commerce maupun Offline Store😊",1 month - 3 months,Shopee,sitinurkhalizah9 recommends this product!,5
41,mirandapst,25 - 29,"Oily, Medium, Neutral",2024-06-08,"Sunscreen yang akan selalu dipurchase karena oily friendly. Gapernah timbul jerawat karena pemakaian ss ini, cukup melembabkan juga. Minusnya 1 aja sih sizenya kurang besar, kalau ada yg besar pasti purchase",3 months - 6 months,Shopee,mirandapst recommends this product!,5
42,nancyiec,19 - 24,"Oily, Medium, Neutral",2024-06-07,"Sebelum2nya aku udh nyoba berbagai macam merk ss dan gk ad yg betul2 cocok di muka ku, tetap bikin muka ku kusem dan minyakan. Akhirnya nyoba2 deh beli azarine dan ternyata cocok! Muka ku gk minyakan danygbikin ak kaget sensasi dinginnya, jadinya serin2 repurce deh dan udh nyaman sama yang ini",1 month - 3 months,Shopee,nancyiec recommends this product!,5
43,firlianinbl,19 - 24,"Oily, Medium Light, Neutral",2024-06-07,sunscreen terbaik versi aku! gampang meresap dan gak bikin dempul/ white cast di muka. apalagi dengan spf 45+++nya bisa ngelindungin wajah dari sinar matahari! pokoknya ringan banget buat dipake daily seharian! best banget deh azarine,1 month - 3 months,Shopee,firlianinbl recommends this product!,5
44,ndysmp,19 - 24,"Combination, Medium Light, Neutral",2024-06-06,"pertama kali coba sunscreen azarine langsung cocok buat kulitku. pemakaiannya mudah menyerap dan termasuk sunscreen yang ringan dan ga white cast. untuk yang lagi cari sunscreen ringan, aku rekomendasiin buat coba sunscreen azarine ini",1 week - 1 month,Shopee,ndysmp recommends this product!,4
45,alfaldaaa,19 - 24,"Dry, Medium Light, Warm",2024-06-06,"sunscreen dengan tekstur gel dan gampang banget di blend terus juga gak berat di muka. tapi buat kulitku yang dry aku kurang suka, karena sunscreen ini gaada efek buat melembabkannya samsek, jadi dia tipe yang dipakai langsung ngeset ke muka dan buat kering di aku. Tapi untuk kulit yang oily, produk ini mungkin cocok banget buat kalian",1 month - 3 months,Indomaret,alfaldaaa recommends this product!,2
46,Safiraninda,25 - 29,"Combination, Medium, Warm",2024-06-05,Bagus karena ringan dan ga lengket jadi paksu approved. Sempet lama pakai produk ini sebelum jerawatan parah dan nyaman banget karna dia cair jadi ga berasa pakai sunscreen. Tapi entah kenapa pas lagi jerawatan dia agak membuat jerawatnya lebih nampak dan agak lebih memicu jerawat baru kalau di aku. Tapi buat yang lagi ga gampang jerawatan boleh dicobaa,1 month - 3 months,Shopee,Safiraninda recommends this product!,4
47,kareonly,19 - 24,"Oily, Medium Light, Neutral",2024-06-05,"untuk kulit oily parah kaya aku ini works bgt! aku make ini baru kuranh lebih 1 bulanan tapi aku suka sama tekstur nya, make up aku juga jdi ketahan, dia ga whitecast samsek! Ringan bgt dan aku suka karena dia ga bikin perih atau kusam! after this i’ll repurchase again n again!",1 week - 1 month,Shopee,kareonly recommends this product!,5
48,Milaaak,18 and Under,"Combination, Medium Light, Neutral",2024-06-04,"sunscreen nyaa di aku ga bikin kusemm di mukaa, cocok banget buat yang nyari sunscreen yang tida bikin kusam, easy to blend jugaa, harga nya affordable bangett buat anak sekolahan bisa dipakai sebulanan bahkan lebih,recomend bbangett dehh",6 months - 1 year,Shopee,Milaaak recommends this product!,5
49,zakiarama,19 - 24,"Combination, Medium, Neutral",2024-06-04,"setelah nemu ini, aku gapernah ganti merk sunscreen lagi. cepet nyerap, ga lengket, dan gada white castnya. ga bikin muka jadi berminyak juga dan cocok buat aku yang kulitnya sensitif. teksturnya juga ringan banget jadi ga berat dimuka walaupun pake moist juga.",More than 1 year,Traditional Market,zakiarama recommends this product!,5
50,Acacantik96,25 - 29,"Combination, Medium Dark, Neutral",2024-06-03,"untuk ukuran 50 ml biasanya bisa habis 2-3 bulan dengan reapply 2x pemakaian sehari. Produknya bagus, tidak lengket, tidak membuat efek putih yg berlebihan dan cepat meresap. Setelah menggunakan sunscreen gampang bgt di bland dgn makeup lain. Harga terjangkau!",1 month - 3 months,Shopee,Acacantik96 recommends this product!,5
51,biyah0208,19 - 24,"Combination, Medium Dark, Cool",2024-06-03,"aku cuma nyoba 1 botol aja setelah itu beli lagi, ini baguss tapi kalau di kulit ku ngebuat oili parah dan komedoan bgttt, agak susah nyerap fi kuoitku butuh waktu beberapa lama jadi kalau buru buru gabisa pakai ini karna nunggu nyerepnya lama di wajah ku, bagus ko murah dan gampang di cari nya juga serta ribgan di wajah cuma fi aku ga cocok huhu",1 week - 1 month,Guardian,biyah0208 recommends this product!,4
52,riskayu22,25 - 29,"Combination, Light, Warm",2024-06-01,"Kulitku kombinasi , tapi setelah pake ss ini engga terlalu berminyak. 10/10 kata aku mah. Emg bagus poul 🫶🏻🫶🏻Aku udh ganti beberapa kali ss tapi menurutku ini yang enak di mukaku. Engga ada whitecast dimuka, ngga bikin abu2. Aku juga rekomendasi ke mamahku juga",1 month - 3 months,Female Daily Studio,riskayu22 recommends this product!,5
53,ramandarara,19 - 24,"Combination, Medium, Neutral",2024-06-01,Teskturnya gel tapi yang lumayan creamy sejauh ini azarine justru cocok banget suncreennya karena gabikin muka kusam dan ga bikin komedoan. Ga ada whitecase plus cepat menyerapnya. Wajah jadi lembab juga cocok banget dipake sebelum makeup,6 months - 1 year,Tiktok Shop,ramandarara recommends this product!,5
54,LuckyA,25 - 29,"Dry, Medium, Neutral",2024-05-31,I try this one because my sister told me this product is her go-to things. But unfortunately it doesn't fit on my skin. I don't know but it looks like it doesn't stick and absorb to the skin. It feels like a mask that ready to peel off anytime. It makes my makeup ruined huhu,1 week - 1 month,Guardian,LuckyA doesn't recommend this product!,3
55,qalbiadam,25 - 29,"Dry, Medium Light, Cool",2024-05-30,"Jujur, suka banget sama teksturnya yang super duper ringan + ga ninggalin white cast sama sekali. Tapi karena teksturnya terlalu ringan jdi ngerasa boros banget, dan ga sampai sebulan udh habis. Untuk harganya tergolong murah. Tapi semenjak pakai sunscreen ini ngerasa kulitku jdi lebih kusam dan gelap huhuu.",1 month - 3 months,Tokopedia,qalbiadam doesn't recommend this product!,3
56,nasyeila00,18 and Under,"Normal, Medium Light, Neutral",2024-05-29,"ini murahh, baguss, terjangkauu, cepet meresap ke kulitkuu tapi aku belum tahu apakah bakal bikin kulitku lebih cerah apa engga, tapi sejauh ini bagus banget sunscreen ini teksturnya lebih lembut cocok utk kulit remaja sangat melembabkan dingin dan tidak berminyak utntuk harga lumayan terngkau apalagi klo ad diskon😱🥰🥰🥰",3 months - 6 months,FD Flash Sale,nasyeila00 recommends this product!,5
57,mrsmaii,30 - 34,"Combination, Medium Light, Cool",2024-05-29,"Udah lumayan lama pake ini. Cocok cocok aja di aku, gak bikin jerawatan atau komedo, termasuk cepet nyerep di kulit, jadi kalo mau make up an lumayan cepet ditimpa make up. white cast hampir gak ada. Cocok juga dipake buat cewek dan cowok. Will repurchase for next shopping sih",6 months - 1 year,Shopee,mrsmaii recommends this product!,5
58,Kikiayuningsih,18 and Under,"Combination, Medium Dark, Neutral",2024-05-28,"Ini enak sebenernya ringan buat sunscreen yg spfnya lumayan tinggi, tapi sayangnya di aku ga nahan minyak dan juga lama kelamaan bikin mukaku kusam:(( ga repurchase sepertinya aku yang varian ini, mencari lagi sunscreen yg nahan minyak yang ngunci minyak seharian.",3 months - 6 months,Shopee,Kikiayuningsih recommends this product!,4
59,mhdrm,25 - 29,"Combination, Medium, Neutral",2024-05-28,"Setiap hari selalu ada di tas aku Sunscreen ini... suka karna tekstur dr ss nya sendiri gampang bgt di apply, ga bikin white cast jg di aku.. overall 8/10 sihhUdah pake ini dari #JakartaXBeauty2023 kemaren dan beli pas lagi promo 3 sunscreen cuma 100rb",6 months - 1 year,Female Daily Event,mhdrm recommends this product!,5
60,echaadifa,19 - 24,"Combination, Medium Dark, Neutral",2024-05-27,siapa sih yang gatau azarine? ini product viral karena terkenal baguss banget karena sunscreen ini ngga bikin kusam diwajah dan bikin wajah aku jadi lebih cerah seketika🤗 biasanya aku pake suncreen selalu kusam abis itu tapi semenjak pakai azarine justru bikin wajah aku lebih cerah🥰,6 months - 1 year,Shopee,echaadifa recommends this product!,5
61,kayi_sekarwars,19 - 24,"Oily, Medium Light, Neutral",2024-05-27,"udah abis berapa tube inii. teksturnya ringan di muka karna bentuknya gel gituu. ga ada efek tone up. bikin glowing. dan masih aman di jerawatku ga bikin nambah banyak. cuma kalo kena mata lumayan perih. waktu muka aku tipenya masih combination (oily di T zone, dry di pipi) ini masih ok bgt dipake ga bikin berminyak. tapi pas tipe mukaku jadi normal to oily, ini malah lumayan berminyak :,(",6 months - 1 year,Shopee,kayi_sekarwars recommends this product!,4
62,enjeliaaaaa,25 - 29,"Dry, Medium Light, Cool",2024-05-26,"sunscreen viral pada jamannya yang emang worth the hybe sih. teksturnya enak, gampang di blend, tidak ada whitecast dan mudah menyerap juga. di kulitku yang kering gak ada masalah sama sekali. sayangnya setelah beberapa kali pakai aku merasa kusam aja gitu.",1 month - 3 months,Gift,enjeliaaaaa recommends this product!,4
63,ratripuspita,35 - 39,"Combination, Medium Light, Cool",2024-05-25,"Sunscreen gel yang senyaman itu dipake sehari-hari. Bahannya ringan, cepat meresap di kulit, bisa menyatu dengan skincare. Keringetan pun gak rontok. Kemasannya handy dan bisa masuk ke pouch kosmetik.",Less than 1 week,Guardian,ratripuspita recommends this product!,5
64,HerlinRomanda,19 - 24,"Oily, Medium, Neutral",2024-05-24,"Sunscreen terenak dan ringan, buat oilyskin juga cocok, teksturnya creamy tapi watery jadi pas di aplikasiin di wajah ringan banget lohhwajib banget untuk di repurchase sunscreen kecintaan umat manusia tapi size dia besar kalo bisa sih ciptain yg travel",1 month - 3 months,Instagram,HerlinRomanda recommends this product!,5
65,Octavia02,25 - 29,"Combination, Medium, Neutral",2024-05-24,"Tekturnya gel dingin saat di apply ke wajah .Bikin lembab dan kenyal seperti squishy . Dari awal pemakaian udah sejatuh cinta itu sama produk ini Cocok buat kulitt kombinasi kayak aku . Dan gak bikin kulit abu"".Approve deh .. cobain gaes .Sunscreen ini lopp deh",1 week - 1 month,Female Daily Studio,Octavia02 recommends this product!,5
66,salsabilanailadila,19 - 24,"Dry, Medium, Warm",2024-05-23,"Sunscreen ini ringan banget, saking ringannya berasa nggak pakai apa-apa. Nggak bikin kusam, tapi teksturnya yang gel bikin sunscreen ini kurang cocok untuk kulit kering ku. Jadi harus tetap pakai moist sebelum pakai sunscreen ini.",1 month - 3 months,Shopee,salsabilanailadila recommends this product!,5
67,frstylestari,25 - 29,"Combination, Light, Neutral",2024-05-22,Soo luv sama sunscreen dari azarine yang harganya sangat amat ramah dikantong. Dengan perlindungan SPF 45 PA++++ cocok banget buat menemani aktivitas aku yang suka ga terduga kadang keluar siang siang bolong jajan kopi ☺️Teksturnya dia gel yang gampang meresap dikulit. Ga menimbulkan white cast juga yaa. So luv pokoknya.,3 months - 6 months,Shopee,frstylestari recommends this product!,5
68,fazacahya,19 - 24,"Oily, Medium, Neutral",2024-05-22,"Awalnya coba yang travel size dan kaget banget karena cocok di wajah aku karena ini tipe sunscreen yang cepat menyerap (teksturnya gel). Untuk wajah aku yang sering keringetan, sunscreen gel azarine membantu dan mempermudah aku mengalokasikan waktu saat make up jadi gak wasting time😻",1 month - 3 months,Shopee,fazacahya recommends this product!,4
