Unnamed: 0,username,age,profile_description,date,review_content,usage_period,purchase_point,recommend,rating_count
10,sabrina26_,18 and Under,"Normal, Medium, Neutral",2024-11-03,"Rangkaian Skin Aqua diklaim hypoallergenic dan bebas dari alkohol, pewangi buatan, dan pewarna. Ini berarti produk ini minim iritasi dan sangat cocok bahkan untuk kulit sensitif sekalipun. harganya juga terjangkau dan tidak ada efek sampingnya",6 months - 1 year,Shopee,sabrina26_ recommends this product!,5
11,inetassya,19 - 24,"Oily, Medium Light, Neutral",2024-11-03,"Harganya ramah di kantong, Teksturnya sedikit cair after pakai bikin muka glosy enak di pakai, tidak perih saya pakai dari SMA sampai kuliah, warnanya agak sedikit putih, murah kalau beli di shopee kalau beli di toko kosmetik agak mahal .,",1 month - 3 months,Shopee,inetassya recommends this product!,5
12,Anabella483,19 - 24,"Oily, Medium, Warm",2024-11-02,Setelah saya memakaki nya Efek nya jadi buat kulit di minyak berkurang dan cocok untuk kulit yg oily atau berjerawat dan tekstur nya tidak terlalu cair dan sangat cocok di pakek untuk sehari hari dan harganya terjangkau juga untuk kantong mahasiswa,1 week - 1 month,Shopee,Anabella483 recommends this product!,5
13,mahrisa,19 - 24,"Oily, Medium, Neutral",2024-11-02,Saya sudah sangat lama memaki produk skinaqua uv moisture milk ini dan produk ini sangat bagus serta cepat menyerap di kulit serta melembutkan dan dengan spf yang tinggi mampu melindungi kulit di siang hari dari sinar matahari yang panas dan,6 months - 1 year,Shopee,mahrisa recommends this product!,5
14,tettimuliati1971,45 and Above,"Combination, Medium, Warm",2024-11-01,Sunscreen ter luv. Gak akan pernah kecewa sih sama sunscreen ini. Mana gampang banget di blend dan gak bikin kulit kering. Secinta itu sama skin aqua. Kalo soal purcase pasi YES!sih.. soalnya emang paling cocok sama ini sunscreen ter the best deh pokoknya,More than 1 year,Shopee,tettimuliati1971 recommends this product!,5
15,anjuchrstina,19 - 24,"Dry, Medium, Cool",2024-11-01,"Milih sunscreen termasuk hal yang paling tricky yakan.Semenjak kenal product ini gak perlu khawatir lagi muka terlihat kusam saat pake sunscreen.Selain itu,cocok juga dipake buat base make up. Variannya juga ada banyak.Keliatan bangetkan productnya peduli semua jenis kulit",1 month - 3 months,Shopee,anjuchrstina recommends this product!,5
16,Cherry_Aprillia,19 - 24,"Normal, Dark, Neutral",2024-10-31,"Sunscreen teringan yang aku pakai, gampang banget ngebland nya, tapi aku ngerasa tone up nya ini sedikit white case tapi aman. Gak pedih kalau dipakai keringetan, basah - basahan, plusnya lagi jadi base makeup juga aman. Buat yang mau hemat cocok nih 2 in 1, ada moisturizer sekaligus sunscreen.",6 months - 1 year,Official Brand Store,Cherry_Aprillia recommends this product!,5
17,Halimahtusakdiyah,30 - 34,"Normal, Medium Light, Neutral",2024-10-29,"Di aku no whitecast , melembabkan, cocok utk semua jenis kulit yg memerlukan kelembapan dan prokteksi dalam waktu jangka panjang, terus teksturnya ringan tapi agak oily dikit. Utk spv 50+ PA+++ mengandung vit B5, E dan hyaluronic acid dan collagen.",More than 1 year,Shopee,Halimahtusakdiyah recommends this product!,5
18,hellozuuu,25 - 29,"Normal, Medium, Warm",2024-10-27,"Mungkin untuk sebagian orang sunscreen ini berminyak, tapi tidak berlaku di kulitku, malah kulit terasa lembab & sehat. Aku udah pakai mulai dari awal kuliah (2015) sampai aku punya anak (2024). Bahkan sunscreen ini aman dipakai saat aku hamil. Setiap event Xbeauty wajib restock sih, karena udah pasti selalu digunain.",More than 1 year,XBeauty by Female Daily,hellozuuu recommends this product!,5
19,Tsalisarahmah,19 - 24,"Combination, Medium, Neutral",2024-10-27,"Tekstur nya tidak lengket, enggak whitecast, harganya terjangkau, enggak buat kulit kering, membantu buat kulit lembap terus, gk ada tambahan parfum, pewarna dan alkohol, bisa dipakak daily sebelum make up an, pokoknya very worth ittttt",More than 1 year,Guardian,Tsalisarahmah recommends this product!,5
20,Metanindita,30 - 34,"Combination, Medium Light, Neutral",2024-10-20,"Ini salah satu favorite sunscreen aku waktu dulu. Tekstur nya ringan dan gak bikin breakout di wajah sensitif aku. Efeknya memang ngelembabin banget sih, jadi aku gak saranin buat yg kulitnya emang berminyak buat pakai ini.",3 months - 6 months,Hero,Metanindita recommends this product!,5
21,ester26yuni,19 - 24,"Combination, Medium, Neutral",2024-10-17,"Sunscreen pertamaku, teksturnya kental to cair, sangat sangat melembabkan, ga perih di mata, aman buat kulitku yang jerawat, ga buat beruntusan, malah kalau lagi beruntusan kaya mau jadi sembuh gitu, mengecil, kadang ku apply ke tangan dan kaki, isinya juga lumayan banyak, pokoknya ini rekomen bgt",More than 1 year,Shopee,ester26yuni recommends this product!,5
22,litta_lotti,30 - 34,"Dry, Light, Warm",2024-10-16,"Salah satu sunscreen yg udh jadi hollygrail bertahun tahun, cocok banget di muka ku yg kering dan acne prone, gak bikin muka jadi kusam under makeup pun cakep✨Hasilnya bikin glowing, cepet menyerap dan gak lengket di wajah.. oia di area mata pun gak bikin perih✨",More than 1 year,Shopee,litta_lotti recommends this product!,5
23,syifaah,25 - 29,"Combination, Medium, Neutral",2024-10-12,"Sunscreen dailyku, teksturnya milky dan pas buat wajahku yang kombinasi to dry. Ga terlalu perih dimata, cepet nyerap dan ga berminyak tapi sangat melembapkan diwajah. Repurchase udh 3 tahunan berkali², harga affordable dan isinya tuh lumayan banyak.",More than 1 year,Alfamart,syifaah recommends this product!,5
24,Asterisiriusis,19 - 24,"Oily, Medium, Neutral",2024-10-08,Salah satu produk sunscreen yg pernah aku coba dan repurchase karena harganya yg terjangkau dan memenuhi ekspetasiku. Teksturnya kadang bikin makin berat di muka yang berminyak. Aku suka karena tidak mengandung alkohol dan pewangi jadi ga ada aroma yang mengganggu. Penggunaannya mudah tapi lengket dan butuh waktu untuk menyerap.,6 months - 1 year,Shopee,Asterisiriusis recommends this product!,4
25,putudayana,25 - 29,"Dry, Medium, Warm",2024-10-08,"teksturnya ringan pas di aplikasikan juga ringan tapi sayang banget d aku ga cocok malah bruntusan 😭tali baca baca review banyak yang cocok, teteo akan kurekomendasikan karena emang ringan dan ada efek tone up sikit, wajah jadi keliatan glowing",1 week - 1 month,Shopee,putudayana recommends this product!,5
26,ainurrofiqoh_,19 - 24,"Oily, Medium Light, Warm",2024-10-07,"Teksturnya watery tapi karna terlalu tinggi spf nya jafi bikin yang punya tipe kulit berminyak agak bikin banyak muncul komedo atau sebum gitu, jdi ini bisa cocok ke kulit normal to dry, kalo buat penggunaan daily diluar ruangan ini pas karna spf nya tinggi",1 month - 3 months,FD Try and Review,ainurrofiqoh_ recommends this product!,4
27,galuhprdnii,19 - 24,"Normal, Medium, Neutral",2024-10-04,"Sebenernya produk ini bagus untuk kulit orang lain, karena kakak aku cocok pake variant ini, butt sorry bgt😭 ini salah satu produk dengan variant yang sangat mengecewakan aku padahal yg tutup putih cocok bgt, aku kira pindah tutup ga sengefek itu. Tapi kenyataanya ternyata muka aku langsung gosong setelah beberpaa kali pemakaian, kusam dan kering bener2 jadi rusak skin barier aku😭🙏🏻 but balik lagi ya, skincare itu cocok2an bgt ternyata😌",Less than 1 week,Tokopedia,galuhprdnii doesn't recommend this product!,1
28,nashazawardani,19 - 24,"Oily, Medium Dark, Warm",2024-10-02,"sunscreen hybrid yang lightweight, muka ga berasa berat pake sunscreen ini, tekturnya milky gitu jadi kalo pake ini rasanya kaya pake moisturizer juga!! di aku ga bikin komedoan sih, st ku oily tp pake sunscreen ini ga bikin tambah oily!💖",1 month - 3 months,Tokopedia,nashazawardani recommends this product!,5
29,alyasausann,18 and Under,"Combination, Medium, Warm",2024-09-29,Tekstur cair harga ramah di kantong buat budget pelajar udah dapet sunscreen sebanyak ini. Cocok buat kulit sensitif kayak aku. Mudah didapatkan dimana aja. Soon pengen cari yg physical aja karena katanya lebih aman buat kulit berjerawat.,3 months - 6 months,Shopee,alyasausann recommends this product!,4
30,sherlyuniza_,19 - 24,",19 - 24",2024-09-29,"Guys, mau cerita soal Skin Aqua UV Moisture Milk nih. Jadi gini, produk ini tuh sunscreen yang lagi hits banget di kalangan skincare enthusiast. Pas pertama kali coba, gue langsung mikir, ""Wah, ini beneran nih bisa jadi holy grail gue!""Pertama-tama, teksturnya tuh ringan banget, kayak susu encer gitu. Pas diaplikasiin ke muka, dia nyerap cepet dan gak bikin muka lengket atau berminyak. Yang paling gue suka, dia gak ninggalin white cast, jadi cocok buat semua warna kulit.Nah, soal perlindungan UV-nya, dia punya SPF 50+ PA++++. Artinya, kita udah dapet perlindungan maksimal dari sinar UVA dan UVB. Mantep kan? Tapi nih ya, yang bikin gue makin jatuh cinta, dia gak cuma ngelindungin dari sinar UV aja. Produk ini juga ngelembabiin kulit. Jadi buat yang kulitnya kering kayak gue, ini tuh bantu banget biar muka gak kekeringan seharian.Minusnya sih, mungkin buat yang kulitnya super berminyak, ini bisa bikin muka agak shiny dikit. Tapi overall, gue rasa ini worth to try banget deh. Harganya juga masih oke lah ya buat kualitas yang ditawarin.Intinya, kalo lo lagi nyari sunscreen yang ringan, gak lengket, dan bisa melembabkan, Skin Aqua UV Moisture Milk ini bisa jadi pilihan yang oke banget!",More than 1 year,Brand Website,sherlyuniza_ recommends this product!,5
31,amaziagrace,19 - 24,"Combination, Medium, Warm",2024-09-28,"Tekstur milky yang bikin wajah lembab dan healthy glow. Tidak ada aroma dan cocok untuk kulit kering atau kombinasi. Suka banget, karena kadang dirumah males pakai pelembab, bisa pakai sunscreen ini ! Bisa jadi base makeup dan moisturizer",1 month - 3 months,Super Indo,amaziagrace recommends this product!,5
32,kayyyyyy,19 - 24,"Normal, Medium, Neutral",2024-09-28,aku suka skin aquaa!! aku reccommend kalian punya produk ini soalnya personally aku suka banget ga bikin kulit kalian kering dan gak whitecast terus nyari produk ini gampang banget lagi banyak di supermarket bisa dicari jadi aku saranin ini,1 month - 3 months,Guardian,kayyyyyy recommends this product!,4
33,Bunga_Aulia10,19 - 24,"Oily, Medium Light, Cool",2024-09-27,"Beberapa bulan ini aku lagi nyobain pakai sunscreen yang satu ini, penyerapannya sangat mudah dan ringan ketika di aplikasikan ke wajah, tone up nya bagus, sehingga kita tidak akan berasa berat di wajah atau lengket setelah di aplikasikan.",3 months - 6 months,Shopee,Bunga_Aulia10 recommends this product!,4
34,chaerunnisamrwh,25 - 29,"Combination, Medium, Neutral",2024-09-27,"Beli sunscreen ini sebenarnya krn salah ambil, niatnya mau beli yang gel tpi belinya milk. Tpi ternyata untuk kulit berminyak lebih enakan pakai yang milk, krn jauh lebih cepat meresap dan gak bikin muka minyakan banget abis dipakai. Ada whitecasenya dikit tpi buat muka jauh lebih segar aja jadinya",3 months - 6 months,Guardian,chaerunnisamrwh recommends this product!,5
35,givloves,19 - 24,"Combination, Medium, Neutral",2024-09-26,"Sunscreen yang emang okee gak ada white case teksture cair, isi juga agak banyak sih bisa bertahan 3 bulan kalau emang gak sering apply SS. Terkadang di kulit aku juga agak perih ketika kondisi kulit lagi kering, gak yang pering banget hanya kek cekit2 dikit . Oh ya ini juga mudah menyerap",3 months - 6 months,Shopee,givloves recommends this product!,4
36,adelineputrif,25 - 29,"Combination, Medium Light, Neutral",2024-09-25,Bener bener cocok dikulitku dan ga bikin white case.Meresap dikulit dan jadi terlihat glow di kulitku.harganya juga addorable.Pokoknya aku sering banget rekonendasiin ke temen temen kalo pengen pake sunscreen yang ringan dan ramah di kantonf wajib nyobain skin Aqua,More than 1 year,Female Daily Studio,adelineputrif recommends this product!,5
37,Eurima_Zahra,19 - 24,"Dry, Medium Light, Neutral",2024-09-24,"Pake ini dari dulu waktu sunscreen belum sebooming sekarang, dulu pilihannya limited dan pilihan ku jatuh ke skin aqua.. udah gatau berapa kali aku repurchase karena sebagus ituu buat kulit normal, kering dan oily",More than 1 year,Shopee,Eurima_Zahra recommends this product!,5
38,missindriii,30 - 34,"Oily, Medium, Warm",2024-09-22,"Inget banget dulu sewaktu kunjungan ke PT. Rohto aku dapat goodie bag sunscreen ini. Aku inget banget karena bentuk botolnya nggak pernah berubah dari dulu. Dulu brand ini masih belum terkenal. Dari segi tekatur cukup enak sih walaupun bukan sunscreen favorit aku. Belum pernah pakai lagi sampai sekarang. Siapa tahu formulanya udah berubah dan lebih baik, iya kan?",1 month - 3 months,Gift dari PT. Rohto,missindriii recommends this product!,4
39,Fenifeniii,19 - 24,",19 - 24",2024-09-22,"Ketika dipakai rasanya ringan banget, nggak menimbulkan white cast, nggak menimbulkan rasa panas di kulit wajah, dan punya daya melembabkan yang pas. Belum nemu keluhan selama pakai ini. Recomended banget pokoknya. Aku udh nyoba beberapa merk sunscreen tapi ini yang paling cocok👍",3 months - 6 months,Shopee,Fenifeniii recommends this product!,5
40,dvinagfk,19 - 24,"Normal, Medium, Neutral",2024-09-21,"skin aqua sunscreen warna biru ini sempat aku coba dan langsung cocok jugaa, ini produk sangat gampang nyerapnyaaa, dan no white cast jujur gaiss, dan after apply dia lembab di mukaa, sangat sangat worth it untuk harganya, dan gampang ditemuin dimana aja",3 months - 6 months,Shopee,dvinagfk recommends this product!,5
41,stefanihalim_07,19 - 24,"Combination, Light, Neutral",2024-09-17,"sunscreen yang paling ringan dan nyaman banget, teksturnya milky dan sedikit oily (jadi harus dishake dulu),untuk kulit kombinasi kaya aku ga masalah sih sama tekstur milky oily nya (malah jadi ngelembapin kulit aku),tapi buat yang kulitnya oily mungkin pikir-pikir dulu yaa ⊹ ♡",3 months - 6 months,Guardian,stefanihalim_07 recommends this product!,5
42,angelinaa_,19 - 24,"Oily, Medium Light, Neutral",2024-09-17,"teksturnya ringan, gampang diblend, ga ada whitecast atau pun tone up, ga berbau juga dan agak bikin makin berkinyak sedikit. sejauh ini aman di kulitku yang sering jerawatan. sunscreen ini juga ga bikin muka jadi kusam dan butek pas udah dipake beberapa jam",More than 1 year,Shopee,angelinaa_ recommends this product!,5
43,nurintan77,19 - 24,"Normal, Light, Neutral",2024-09-15,"Selama pemakaian produk yang sudah ke 5x nya sangat cocok untuk kulitku yang lumayan sensitif, menurutku produk ini membuat wajahku lembab dan cerah, tidak meninggalkan whitecase juga, ini adalah sunscreen favoritku.",3 months - 6 months,Brand Website,nurintan77 recommends this product!,5
44,ahff26,19 - 24,"Normal, Medium Light, Neutral",2024-09-15,"Enak banget dia ga white cast di muka. Meresapnya juga cepet. Ada efek melembabkannya di kulit aku yang normal to dry ini. Bagus banget di aku cocok sih, udh pake dari tahun 2022. Sebelumnya aku kalo pake sunscreen suka perih di mata, ini ngga.",More than 1 year,Shopee,ahff26 recommends this product!,5
45,Khansa_280412,18 and Under,"Combination, Medium Light, Cool",2024-09-13,"Produknya bagus, sunscreen nya cepat buanget meresap nya lalu ringan dipakai sehari hari dan no whitecast pokok nya ini harus dikasih bintang lima sih pokok nya bagus skinaqua jangan lupa vote ya terimakasih 🙏🙏🙏",More than 1 year,Guardian,Khansa_280412 recommends this product!,5
46,vickyaraM,19 - 24,"Combination, Light, Neutral",2024-09-13,"Tau produk ini karna teman, dia bilang produk inj bagus dan sepertinya akan cocok di muka saya yang sensitif. Lalu pada saat saya membelinya memang bagus sekali produknya tidak berat di muka dan rasanya seperti susu sekali warnanya putih dan bagus sekali menahan sinar matahari. Kebetulan saat saya mempunyai produk ini saya sering keluar rumah dan memang bagus rasanya. Mudah untuk di reapply juga.",1 month - 3 months,Shopee,vickyaraM recommends this product!,5
47,Dessysundary,30 - 34,"Combination, Medium Dark, Warm",2024-09-12,"Suscreen yg gak bikin white cast dan jerawatan di aku, apalagi mukaku sensitif abis ditambah ada beberapa sunscreen yg aku coba itu mereka bikin perih dikata apalagi kalo lagi diluar ruangan, jadi gak nyaman banget buat aku yg doyan motoran",6 months - 1 year,AEON,Dessysundary recommends this product!,5
48,bore,18 and Under,"Combination, Medium Dark, Cool",2024-09-11,"sunscreenn ini bener bener bagusss bangett untuk dipakai dibawah makeup, karna bikin kulit lembab. teksturnya agak cair, mudah di blendd. diaa jugaa claim spf 50+ pa+++. cocok bangettt untukkk pemakaiann seharii-harii. harganya jugaa ramahh di kantong pelajarr.",3 months - 6 months,Tokopedia,bore recommends this product!,5
49,nadiamaudy,18 and Under,"Combination, Medium Light, Cool",2024-09-10,"tekstur milky, gampang bgt di blend, sangat ringan dikulit, ga bikin whitecast, bikin kulit lembut bgt dan termoisturize kenyal. all skin type cocok banget pastinya, also ini ga bikin kulit berminyak. baguss bgtt sihh.",1 month - 3 months,Shopee,nadiamaudy recommends this product!,5
50,Salsabilaa31,19 - 24,"Combination, Medium, Neutral",2024-09-02,"sebenernya teksturnya enak, cuma tuh lama meresap trs buat oily skin tuh sumuk bgt rasanya malah makin berminyak. bagusnya dia klo dipake pas kulit lagi sensitive sama sekali nggak perih sih. lebih suka yg tutup putih itu dibanding yg ini sih.",3 months - 6 months,Lazada,Salsabilaa31 recommends this product!,3
51,Shandyagia,30 - 34,"Combination, Medium Light, Neutral",2024-08-31,"Lupa beli dimana karena beberapa kali coba coba beberapa varian skin Aqua. Teksturnya lotion cair wattery. Gampang menyerap ke kulit, bikin kulit lembab. Ukurannya mungil, gampang dibawa kemana mana, tapi teksturnya yg cair bikin gampang tumpah kalo kepencet dari kemasan.",1 week - 1 month,Lupa beli dimana,Shandyagia recommends this product!,4
52,Trisnie,35 - 39,"Combination, Medium Light, Cool",2024-08-29,Teksturnya cair jadi mudah di-blend dan dikulit mid 30 kayak aku ternyata bekerja dengan baik dan gak berminyak walaupun biasanya di bagian hidung udah kayak pabrik minyak tapi fine2 aja di aku. Selain itu gak bikin jerawatan karena muka aku sensitif bgt aslinya,3 months - 6 months,Watson,Trisnie recommends this product!,5
53,KitKath,19 - 24,"Oily, Light, Neutral",2024-08-27,"Dulu sempat pake sebentar. Awalnya oke-oke aja, dia ini cukup ringan meskipun agak sedikit berminyak menurutku dan baunya tipikal bau sunscreen, tapi beberapa hari kemudian muncul tekstur dan komedo di kulit wajah. Jadi aku nggak terusin lagi karena takut malah jadi jerawatan. Ini nggak cocok di kulitku yg berminyak dan acne prone.",1 week - 1 month,Gift,KitKath doesn't recommend this product!,2
54,verodelcano09,19 - 24,"Oily, Medium Light, Warm",2024-08-22,"wow produknya agak mungil, untuk kulit yang berminyak, awal-awal bikin kusam karena mukaku yg super oily, tapi pas dah dipake lama dia kayak kontrol minyak berlebih, lembab, glowing juga, untuk tekstur dia ini agak cair tapi cepat meresap kok, tapi untuk beli lagi, aku enggak deh, bikin kusam",1 week - 1 month,Sample,verodelcano09 doesn't recommend this product!,3
55,itaaaafiryal_,19 - 24,"Combination, Medium, Neutral",2024-08-20,"setelah mencoba semua varian sunscreennya skin aqua, aku paling suka sama yang moisture milk ini! walaupun direkomendasikan untuk dry skin tp dikulitku yang kombinasi ini bagusss!! hidrasinya dapet banget, ga bikin kusam ataupun lengket, ga whitecast, ga piling, juara deh pokonya. untuk komedo so far ga muncul sih ya asal double cleansing. bakal terus2an repurchase yg varian inii deeh krn emg sesuka itu!",1 week - 1 month,XBeauty by Female Daily,itaaaafiryal_ recommends this product!,5
56,nrlliac,25 - 29,"Normal, Medium, Neutral",2024-08-18,Jujur sebenernya suka banget karena ringan terus ngga ada parfum sama alkoholnya juga. Dibawa-bawa juga simpel gitu. Tapi sayang banget setiap aku olahraga atau habis wudu selalu bikin perih mata huhu.,6 months - 1 year,Shopee,nrlliac doesn't recommend this product!,3
57,shiellanoveliaa,25 - 29,"Combination, Light, Cool",2024-08-16,"Salah satu sunscreen paling ringan yang sering aku pakai.. ukurannya juga kecil cocok dibawa bawa kalau lagi mau pakai tas kecil.. teksturnya lembut, muka juga jadi lembab padahal cuma pakai sunscreen doang, enak juga buat di reapply karna sunscreennya seringan dan selembut itu",3 months - 6 months,Shopee,shiellanoveliaa recommends this product!,5
58,chikapn,19 - 24,"Dry, Medium, Warm",2024-08-14,i love it soooo much. my favorite sunscreen. bikin kulit lembab. gampang meresap. nggak greasy sama sekali. kalo kulit lagi normal dan nggak kering aku sering skip moisturizer kalo pagi soalnya ini udah cukup lembab buat aku. affordable juga,More than 1 year,Shopee,chikapn recommends this product!,5
59,mrgrthtgl,19 - 24,"Combination, Light, Cool",2024-08-14,"ku suka teksturnya cair dan gampang nyerap di kulit, tapi masih ninggalin efek berminyak setelah pemakaian ini. dan ada efek tone up nya, jadi kalau engga dipake secara rata pasti akan keliatan engga oke",1 month - 3 months,Guardian,mrgrthtgl recommends this product!,4
60,pelangiputri_,25 - 29,"Normal, Medium, Neutral",2024-08-12,"Pakai skinaqua ini pas jaman SMA. Sesuai namanya, produk ini teksturnya watery jadi nggak terlalu lengket. Cocok untuk yang wajahnya berminyak, soalnya gak bikin engap 🤌. White cast? NoMudah di dapat di mana-mana, banyak MUA pakai ini sebagai mousturizer karena sifatnya yg melembabkan",6 months - 1 year,Ranch / Farmers Market,pelangiputri_ recommends this product!,4
61,gheawllms,19 - 24,"Combination, Medium, Neutral",2024-08-10,"Setelah pencarian lama akhirnya berlabuh juga di Skin Aqua UV Moisturizer Milk. Udah 1 tahun lebih pakai, gak mau ganti ke yang lain. Tekstur enak banget, gampang menyerap, tidak meninggalka whitecast. Pokonya cobain dulu aja!!",More than 1 year,Female Daily Event,gheawllms recommends this product!,5
62,Dyahratnaap,19 - 24,"Combination, Medium, Neutral",2024-08-09,"Pertama kali nyobain ini tuh pas jaman2 Covid, dipakai dalam rumah aja & gak banyak kegiatan oke. Hidrasinya dapat! Untuk oilyskin masih kurang oke, tapi buat kulit normal to dry ini bagus banget! Bikin plumpy dan gak bikin kusam",3 months - 6 months,Shopee,Dyahratnaap recommends this product!,4
63,ajengnnastt,25 - 29,"Dry, Medium Light, Neutral",2024-08-06,"sudah masuk botol ke-4, cocok buat yang kulitnya combo cenderung dry karena enak banget di muka berasa pakai moisturizer. di aku memang bikin agak kusak dikit karena mukaku cenderung light tone jadi langsung keliatan (?) tapi ga masalah karena pasti ditimpa skin tint. isinya dikit banget itu yang bikin aku nyesek, kenapa ga pernah ada versi lebih besarnya sampe sekarang.",More than 1 year,Shopee,ajengnnastt recommends this product!,4
64,ayurespati,25 - 29,"Normal, Light, Neutral",2024-08-06,"Tekstur milky sesuai namanya. Harga affordable banget dan gampang ditemuin dimana mana. Cocok buat anak sekolahan atau kuliah. Finishnya alih2 moist, di aku jd kayak lebih ke oily gitu ya, terus ingredientnya masih comedogenic gitu. Aku sih beli sekali doang, not for repurchase",1 month - 3 months,Guardian,ayurespati recommends this product!,3
65,zaraaini45,19 - 24,"Dry, Light, Neutral",2024-08-02,"Maaf banget tapi aku super super ga cocok, aku pake sekali langsung jerawatan aku coba lagi untuk 3 hari tapi malah tambah parah. Walaupun teksturnya enak ya dia agak cair dan gampang di blend tapi benerin kulitku kalo udah jerawatan tuh pr banget. So produk ini just not for me aja",Less than 1 week,Dan+dan,zaraaini45 doesn't recommend this product!,2
