time,formattedTime,formattedAxisTime,value,hasData,formattedValue,isPartial
1730678400,"Nov 4, 2024",Nov 4,[60],[True],['60'],
1730764800,"Nov 5, 2024",Nov 5,[48],[True],['48'],
1730851200,"Nov 6, 2024",Nov 6,[50],[True],['50'],
1730937600,"Nov 7, 2024",Nov 7,[39],[True],['39'],
1731024000,"Nov 8, 2024",Nov 8,[45],[True],['45'],
1731110400,"Nov 9, 2024",Nov 9,[46],[True],['46'],
1731196800,"Nov 10, 2024",Nov 10,[55],[True],['55'],
1731283200,"Nov 11, 2024",Nov 11,[44],[True],['44'],
1731369600,"Nov 12, 2024",Nov 12,[39],[True],['39'],
1731456000,"Nov 13, 2024",Nov 13,[41],[True],['41'],
1731542400,"Nov 14, 2024",Nov 14,[33],[True],['33'],
1731628800,"Nov 15, 2024",Nov 15,[46],[True],['46'],
1731715200,"Nov 16, 2024",Nov 16,[46],[True],['46'],
1731801600,"Nov 17, 2024",Nov 17,[47],[True],['47'],
1731888000,"Nov 18, 2024",Nov 18,[49],[True],['49'],
1731974400,"Nov 19, 2024",Nov 19,[43],[True],['43'],True
