date,Azarine Azarine Hm-c Sunsc Srm Spf50 Pa++++ 40ml,isPartial
2023-04-16,0,False
2023-04-23,36,False
2023-04-30,69,False
2023-05-07,35,False
2023-05-14,45,False
2023-05-21,62,False
2023-05-28,58,False
2023-06-04,54,False
2023-06-11,46,False
2023-06-18,57,False
2023-06-25,56,False
2023-07-02,42,False
2023-07-09,28,False
2023-07-16,31,False
2023-07-23,36,False
2023-07-30,35,False
2023-08-06,43,False
2023-08-13,0,False
2023-08-20,50,False
2023-08-27,54,False
2023-09-03,44,False
2023-09-10,46,False
2023-09-17,42,False
2023-09-24,41,False
2023-10-01,57,False
2023-10-08,53,False
2023-10-15,68,False
2023-10-22,57,False
2023-10-29,31,False
2023-11-05,44,False
2023-11-12,41,False
2023-11-19,37,False
2023-11-26,57,False
2023-12-03,42,False
2023-12-10,81,False
2023-12-17,41,False
2023-12-24,50,False
2023-12-31,43,False
2024-01-07,38,False
2024-01-14,0,False
2024-01-21,27,False
2024-01-28,38,False
2024-02-04,46,False
2024-02-11,0,False
2024-02-18,40,False
2024-02-25,33,False
2024-03-03,49,False
2024-03-10,41,False
2024-03-17,0,False
2024-03-24,46,False
2024-03-31,58,False
2024-04-07,0,False
2024-04-14,49,False
2024-04-21,44,False
2024-04-28,42,False
2024-05-05,34,False
2024-05-12,69,False
2024-05-19,0,False
2024-05-26,55,False
2024-06-02,71,False
2024-06-09,41,False
2024-06-16,59,False
2024-06-23,54,False
2024-06-30,46,False
2024-07-07,70,False
2024-07-14,41,False
2024-07-21,66,False
2024-07-28,35,False
2024-08-04,52,False
2024-08-11,64,False
2024-08-18,54,False
2024-08-25,58,False
2024-09-01,0,False
2024-09-08,53,False
2024-09-15,37,False
2024-09-22,79,False
2024-09-29,51,False
2024-10-06,59,False
2024-10-13,59,False
2024-10-20,56,False
2024-10-27,61,False
2024-11-03,56,False
2024-11-10,65,True
