username,skintype,date,review_content,purchase_point,rating,Jenis_Produk,trend,age_category,periode_penggunaan,Recommend,skintone,undertone
anggiwpn,Oily,2024-09-16,"Udah pakai ini selama sebulan lebih, teksturnya cream bening macam gel gitu jadi ga akan bikin muka putih2 gitu, karena saat di aplikasikan dimuka dia bening gitu ada efek dingin2nya jugaa. Tidak berminyak di muka dan kl udah set jadi matte gitu.",Guardian,5,Azarine Calm My Acne Sunscreen Moisturizer,69,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
luthfiahrnr_,Combination,2024-09-10,pas awal produk nya dikeluarin teksturnya kayak agak thick tapi setelah di blend jadi ringan dan nyaman banget. untuk merawat jerawat aku ngga terlalu merhatiin tapi emang calming kemerahan di kulitku. gaada whitecast dan nyatu bgt sama makeup.,mitufaya,4,Azarine Calm My Acne Sunscreen Moisturizer,62,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
Liamel,Oily,2024-09-03,"Bagus bangett untuk kulit aku yang kombinasi, dan suka merah”. dia tekstur nya ringan banget di kulit, dan ada sedikit sensasi cooling nya waktu dipake. Ga bikin close komedo karna dia ringan banget kayak pake moist, aku sebenernya udah cocok sama ss azarine yang biasa itu, tpi ini ternyata lebih bagus lagi kandungan nya buat kulit jerawatan",Alfamart,5,Azarine Calm My Acne Sunscreen Moisturizer,68,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
m_michel,Combination,2024-09-02,"Ini sunscreen bagus banget untuk yang ga mau pake moisturizer tapi langsung suncreen, karena lemba-in nya dapet banget untuk kulit kombinasi oily mendekati normal dan normal mendekati kering kayak aku, tapi aku tetep sarankan buat pake moisturizer dulu sih biar kelembaban kulit terjaga seharian.",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,65,dewasa muda,Jangka Panjang,recommend,Light,Neutral
NadiaLuthfita,Oily,2024-09-01,"Udah repuscase berapa kali? Banyak! Udah 6+ ss Azarine pakenya. Dari jaman sekolah sampai dah lulus masih pake karena secocok itu sama kulitku. Pie aku perlahan memudar karena sering aku totolin pake ss Azarine ini. Mana murah lagi, sukaa sampe titik terakhir!",Tokopedia,5,Azarine Calm My Acne Sunscreen Moisturizer,85,dewasa muda,Jangka Panjang,recommend,Medium Dark,Neutral
amyunic,Combination,2024-08-28,"One of the best sunscreen!! Karena ini salah satu sunscreen yg bener-bener aman di kulit aku yg super sensitif dan super acne prone. Susah bgt nyari sunscreen yg aman di kulit aku, karena gampang perih, gampang merah, dan rentan berjerawat. Sunscreen Azarine yg ini teksturnya creamy lotion yg ringan, langsung melting di kulit, langsung menyerap, dan pas di apply ada sedikit sensasi cooling + calming. Bener-bener nyaman dipake banget, ga berat dipake aktifitas. Dan sunscreen ini ga nambah oily di tzone, tapi melembabkan di area lain. Juga ga bikin mata perih. Definisi perfect sunscreen for sensitive-acne prone skin. Apalagi harganya yg affordable. Sungkem sama Azarine!!",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,68,dewasa muda,Jangka Pendek,recommend,Light,Neutral
syifaamz,Combination,2024-08-28,"untuk wajah yang berjerawat, cocok banget di muka aku dan ga berat juga di muka. cepat meresap, buat yg acne prone boleh coba produk azarine yg spf 35 PA +++ sangat akuu di rekomendasikan. ramah dikantong dan hasilnya ga kaleng-kaleng sukakk bangettt",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,68,dewasa muda,Jangka Pendek,recommend,Medium,Cool
Dyann,Combination,2024-08-23,"Ss nya ringan banget dan cepet nyerepnya. Dulu pas jerawatku meradang aku masih pake dan foilaaa malah bantu dikit dikit calmingkan jeriwit dong dengan waktu yang gak singkat tentunya☺️Udah habis bertube tube ini akunya udah gak kehitung lagi, skrg sih selalu nyetok pokoknya!",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,71,dewasa muda,Jangka Menengah,recommend,Medium Dark,Warm
iniakucaca,Oily,2024-09-27,"SPF 50 memberikan perlindungan yang memadai untuk aktivitas luar ruangan. Tekstur gelnya bagus gampang nyerap.aku remonedasiin buat temen temen yang mau cari sunscreen. produknya oke banget. Tidak meninggalkan rasa lengket di kulit, sehingga cocok untuk semua jenis kulit.",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,66,dewasa muda,Jangka Menengah,recommend,Light,Warm
sakinatunnisa,Combination,2024-09-28,"Aku cocok pakai sunscreen calm my acne. Ngga wait case, aku risih soalnya kalau pakai sunscreen yang wait case. Ringan di kulit wajah, gampang di pakai dan mudah dibawa ke mana-mana. Harganya juga terjangkau. Ngga bikin makin jerawatan. Aman untuk kulit remaja",Brand Website,5,Azarine Calm My Acne Sunscreen Moisturizer,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
cdnz,Combination,2024-09-25,"Sunscreen ini oil control nya oke, teksturnya ringan ga bikin gerah. Beneran berasa kaya ga pake apa-apa. Minusnya, kalau aku pake 1 jari full atau agak tebel gitu lumayan lama nyerepnya, but it's okay biasanya aku kipas-kipas biar cepet nyerep. Overall, aku suka banget sama sunscreen ini, karena ga bikin muka aku berminyak.",Guardian,5,Azarine Calm My Acne Sunscreen Moisturizer,44,remaja,Jangka Pendek,recommend,Medium Light,Neutral
Jusmalia,Combination,2024-09-28,"Udah masuk tube 2 apa 3 gt untuk sunscreen ini. Azarine aku masih juara sih utk tekstur dan kenyamanannya. Teksturnya gel creamnya cepet meresap tapi bikin kulit masih berasa lembab dan yg penting jg berasa soothing dan calming wajah. Nyaman banget dipakenya sih intinya, lembut banget, tanpa parfum dan kalo lagi ada jerawat berasa aman pake sunscreen ini. Love it!",Guardian,5,Azarine Calm My Acne Sunscreen Moisturizer,45,dewasa matang,Jangka Menengah,recommend,Light,Warm
cellinaas,Combination,2024-11-05,"suunscren paling sih !!aku pakai bagi sebelum berangkat sekolah siang hari replay terus , suunscrenpaling ringan, gampang di blend , + bisa bikin lembab karena ada moisturizernya touch up terus wajib biar ga gosong luvv banget deh sama suunscren satu ini luvv azarine❤️",Tiktok Shop,4,Azarine Calm My Acne Sunscreen Moisturizer,46,remaja,Jangka Menengah,recommend,Medium Dark,Warm
Lilyraharjo18,Combination,2024-11-04,"Sunscreen worth it to buy sejauh ini.. aku pakai pagi sebelum ke kantor, kalau ada kerjaan di lapangan touch up 2 kali biar gak gosong✌🏻ada moisturizer nya bikin lembab kulit, dan gak buat kusam sih menurut ku. aku pilih yg calm my acne karna kmren aku sempet jerawatan✨",Shopee,4,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
shrnsia_23,Combination,2024-11-02,"Produk ini bagus kok, sejauh ini aq pakai gk bikin breakout. Tekstur nya ringan and mudah menyerap. And produk ini gk bikin kulit jadi berminyak bgt, padahal tipe kulit aq combination to oily. Cocok juga buat sensitive skin cuz ini produk bisa bantu nenangin kulit.",Shopee,4,Azarine Calm My Acne Sunscreen Moisturizer,56,remaja,Jangka Menengah,recommend,Medium Light,Cool
1009hoonie,Combination,2024-11-01,"hi guys, aku mau rekomendasiin ss yg bagus buat acne prone nih. aku udah pake 1 tahun lebih dan hasilnya lumayan banget di aku, udah jarang jerawatan lagi alhamdulillah. 1 tube bisa sampe 1 bulan loh~",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,45,remaja,Jangka Panjang,recommend,Medium Light,Neutral
alfiard_,Combination,2024-09-28,"pake sunscreen tapi berasa ga pake sangking ringannya😭sunscreen azarin calm mu acne spf 35 ini type chemical sunscreen, ingredientsnya ada bakuchiol dan pionin yang bisa calm acne dan redness, sunscreen ini juga 0% alcohol dan fragrance",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,45,dewasa muda,Jangka Pendek,recommend,Medium Light,Cool
twinkletoes0914,Combination,2024-11-01,"Sunscreen yang selalu aku pakai tiap hari, cocok untuk acne prone atau kulit sensitif kayak aku. Harganya juga terjangkau, ngga buat perih dimata dan cepat meresap ke kulit. Aku sering gunain sunscreen yang spfp35 pa +, recommended dari aku ya",Tiktok Shop,5,Azarine Calm My Acne Sunscreen Moisturizer,45,dewasa muda,Jangka Panjang,recommend,Light,Cool
letsbinuuu,Oily,2024-10-29,"Salah satu sunscreen yang wajib dicoba buat para oily and acne prone skin dan gampang keringetan kaya aku, dia gampang banget menyerap kaya gak pake apa apa dan oil controlnya juara.Dipake sebagai skinprep pun dia gak ngerusak makeup, karna dia itu hasilnya matte semisal kalian mau makeupnya agak dewy kalian bisa pake serum or moist yang agak thick terus dipakein ss ini bagus banget karna oil controlnyaintinya ini worth to try for oily skin",Sociolla,5,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa muda,Jangka Menengah,recommend,Medium Light,Cool
Ekadyahkurnawatiii,Combination,2024-10-18,"Sumpah ini produk Bagus bangeeett😍😍 afternya gak bikin muka kusam samsek, gak bikin berminyak juga🥰🥰 meskipun udah 8 jam aku pake (didalam ruangan) tapi mukaku gak ada keliatan berminyak sama sekali.",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,45,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
nasywahfajri,Combination,2024-10-18,"dari sekian banyak koleksi suncreen azarine gua, ini yangpaling banyak sih, di pakai ringan poll, ada dingin dingin gitu, di pakai di daerah mata sama sekali ngga perih, sunscreen azarine selama ini kalo gua pakai di daerah mata emang ngga pada perih sih, lembab di gua. recommend? yapss, gua pakai ini pas di sore hari aja kalo gua ada mau keluar, kalo pagi pakai yang spf 45 karena apa? gua lagi belang parah, jadi proteksi nya kureng di gua, tapi tetep bagus dan gaada keluhan apapun kok. cuss beli sayang",Instagram,5,Azarine Calm My Acne Sunscreen Moisturizer,45,remaja,Jangka Panjang,recommend,Medium,Neutral
ester26yuni,Combination,2024-10-17,"Sunscreen nya bagus, cocok di kulitku, di oleskan di daerah mata engga buat perih, ga buat breakout, harganya juga terjangkau, dan bisa di temukan di mana-mana kalau lagi habis sunscreen nya. Ga buat sumuk di muka, bisa di pakai buat sehari-hari, ga buat bedak geser si, okelah",Guardian,5,Azarine Calm My Acne Sunscreen Moisturizer,70,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
FitriKurniati,Combination,2024-11-01,"guys, aku mau rekomendasiin nih ke kalian, sunscreen yang udah lama bgt aku pake hehe, udah sampe 3 tube lebih, ini friendly banget buat yang acne face kayak aku, terus dia sekalian moisturizer juga jadi kalian dalam satu produk udah dapat 2 fungsi sekaligus !!",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,45,dewasa muda,Jangka Menengah,recommend,Medium Light,Cool
elanisarast,Oily,2024-10-11,"Kok bisa-bisanya aku ternyata belum review sunscreen andalanku ini? Saking perfectnya, aku ga tau mau ngomong dari mana. Mukaku yang udah kayak kilang minyak, pas tiap pagi pakai ini, seharian jadi minim (kecuali di bagian hidung karena emang udah nggak tertolong kayaknya). Dia bisa bangettt ngontrol minyak berlebih padahal nggak aku timpa pakai mineral powder translucent (apalagi kalau pakai, yang dari innisfree, behhh best combo!). Yang aku suka, dia ada sensasi dingin yang bukan nyelekit atau minty gitu, tapi kayak segerrr aja macam kena air di cuaca hujan. Apaan ya kurangnya (?) sampai bingung. SPFnya menurutku pas bgt buat di rumah doangan (berhubung rumahku ada beberapa skylight jadi perlu proteksi juga buat berkeliaran di dalam, tapi ga butuh yang too much). Tutupnya juga bukan yang putar, alias tinggal buka sat set pakai *aku benci muter2in wkwk. Mungkin kurangnya di mulut botolnya yang besar kali ya? Aku jadi ga bisa ukur 2 ruas jari. Tapi aku pakai pun secukupnya aja sih (bandel emang) kecuali kalau buat ke luar *ini pun pasti pakai yang versi spf 50.",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,44,dewasa muda,Jangka Panjang,recommend,Medium Light,Warm
Deasisil,Oily,2024-10-08,"Repurchase kesekian yg varian ini, ternyata enak juga buat kulit oily, cepet meresap, aroma seger enak, ga bikin berminyak, berasa moisturized juga. Harga affordable, cuma emang isinya dikit aja sih buat aku jadi kesal dikit-dikit beli wk",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,76,dewasa muda,Jangka Pendek,recommend,Medium,Warm
pitalokadanisa,Oily,2024-10-05,Salah satu suncreen yang cocok banget untuk kulit wajah yang berjerawat dan oily skin... Udah sering pakai azarine sunscreen yang satu ini.. dan cocok banget sama kulit wajah aku yang oily skin dan berjerawat,Official Brand Store,5,Azarine Calm My Acne Sunscreen Moisturizer,79,dewasa matang,Jangka Pendek,recommend,Medium,Neutral
frlyyraaa,Normal,2024-10-04,"ini baguss banget! sunscreen nya ga ada whitecast, gampang menyerap juga, soalnya tekstur dari sunscreen nya itu gel. harus reapply tiap 2-3 jam soalnya cuma 35spf, overall ini recommended to use. tipekul aku normal to oily anyway.",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,61,dewasa muda,Jangka Menengah,recommend,Medium Dark,Neutral
luthfiahhanum,Oily,2024-09-30,"BEST SUNSCREEN EVER for OILY SKIN. Gampang nyerap, finishnya matte 💯, non comedogenic, no white cast, dan pastinya kantong pelajar friendlyyy.Repurchase this one for 1000× times ga bosen2 dan akan terus repurchase karena bagus bgt bgt. 💕Kalau dikirimin ini se-truk juga ga akan nolak weh 🤍😭🤍😭🤍😭",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,58,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
dindaanra_,Combination,2024-09-29,"pake sunscreenini rasanya enak bgttt kek langsung nyerep dikulit yang berminyak, gak bikin whitecast, kandunganya juga mantep bgt kaya centella asiatica buat calming, terus ada salicylicacid buat jerawat, pokoknya suka bgt sama prodak inj knp gak dari dulu coba azarine 😭😭",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,65,dewasa muda,Jangka Pendek,recommend,Medium,Warm
alfimanzila,Oily,2024-09-29,Sekarang beralih sunscreen azarine yang ini.....dulu pakai yang spf 45...sekarang aku turunin....lumayan ada hasil sill....basic skincare tiap hari jerawat lumayan memudar...cuma tekstunya yang pas banget buwa kulit oily jadinya mudah nyerep,Shopee,4,Azarine Calm My Acne Sunscreen Moisturizer,65,dewasa muda,Jangka Pendek,recommend,Dark,Warm
astiwidy,Oily,2024-09-29,"bagus banget, no white case, engga bikin bruntusan dan jerawat loh, suka banget pakenya, buat kulit oily juga baguss, harganya murah juga, sangat rekomended, worth to buy guys!! engga berat juga, super ringannnn, udah repuschase beberapa kali",Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,65,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
grateful01,Dry,2024-10-15,Alhamdulillaah cocok sekali sama sunscreen ini. Sebenarnya lebih murah sunscreen I*plor* tetapi yang ini nggak perih di mataku dan sejauh ini nggak menyebabkan breakout. Sampe sekarang harapan ku ke sunscreen itu nggak muluk2 cukup cocok dan tidak bikin breakout serta masuk sama budgetku udah seneng banget Alhamdulillah.,Shopee,5,Azarine Calm My Acne Sunscreen Moisturizer,52,dewasa matang,Jangka Menengah,recommend,Medium Dark,Neutral
pidharully,Dry,2024-09-21,"Seneng bgt pas nemu sunscreen lokal yg gentle!🤩 beneran gada bau apapun selain bau kimia, tp ga ganggu kok, pas diapply baunya bener2 ilang.Teksturnya light lotion, superduper gampang diratain! No whitecast👍🏻 enteng bgt feelnya dan ga oily, finishnya beneran skinlike dan cepet bgt ngesetnya. Jd kalo mau pake complexion yg skin-like alias ga terlalu glowy, aku suka pake sunscreen ini.Minusnya cuma lebih pedih drpd skin aqua kalo kena mata pas kecampur keringet atau kena air waktu cuci muka.",Shopee,5,Azarine Hydramax C Sunscreen Serum,61,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
pratiwisaraswati,Combination,2024-09-18,"Memutuskan coba sodaranya si ijo karena butuh vit c biar ngga kusam, and it worked! Teksturnya gel agak creamy, finishnya matte, dan gampang diblend nya. Ngga bikin gerah, kerasa pas aja gitu. Setelah pakai beberapa lama, wajah agak cerahan, suka deh!",Tokopedia,5,Azarine Hydramax C Sunscreen Serum,55,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
arzahra,Combination,2024-09-17,"Ss Azarine terfavorite😍😍 udah ada kandungan Vitamin C yang bagus buat kulit cerah dan glowing 😙 Teksturnya gel ringan, lembab, dan satin finish—nyaman dan ga sumuk buat combi-oily skin ✨Mau dipakein makeup atau tanpa makeup sama sama cakep🧡",Tokopedia,5,Azarine Hydramax C Sunscreen Serum,53,dewasa muda,Jangka Menengah,recommend,Medium Light,Neutral
genn,Oily,2024-09-07,"Best sunscreen I've ever purchased!! Sunscreen ini non white cast, trus light weight jugaa. Cocok buat jadi rangkaian skin prep sihh soalnya dia cepat nyerap dan ga bikin base make up ngeser gitu. Di kulit oily ku jujur dia tetap bikin minyakan, cuma menurutku ini lebih oke daripada yang hydrashoote since dia gaada bikin sensasi kulit ketarik dan ga kusem gitu. DEFINITELY REPURCHASE",Shopee,5,Azarine Hydramax C Sunscreen Serum,50,dewasa muda,Jangka Pendek,recommend,Light,Neutral
Salsabilaa31,Combination,2024-09-02,"sunscreen ini enak bgt dipakenya adem gitu, teksturnya gel yg gampang meresap di kulit. untuk mencerahkan kayanya biasa aja sih, cuma aku suka kalo kena mata dia ga perih dan ga ada efek yg gimana gimana selama pemakaian. sunscreennya juga melembabkan.",Shopee,5,Azarine Hydramax C Sunscreen Serum,65,dewasa muda,Jangka Pendek,recommend,Medium,Neutral
MaDaffa,Normal,2024-08-30,"Bagus banget...dengan menggunakan sunscreen azarin yang hydramax bikin kulit cerah, flek hitam lama kelamaan jadi memudar, tidak bikin kulit berminyak,teksturnya sangat lembut tidak lengket, pokoknya recomend banget....",Shopee,5,Azarine Hydramax C Sunscreen Serum,74,dewasa matang,Jangka Menengah,recommend,Medium,Neutral
atikahsaidah29,Dry,2024-09-01,"ga bisa deskripsiin ss azarine hydramax C ini. coba produk sunscreen yg lain slalu balik lagi kesini. cocok bgt buat kulit aku yg dry, ga bikin lengket, gampang bgt buat di blend, ini combo bgt kalo dipakein sm serum vit C. packagingnya oke bgt buat travel friendly, tapi kalo bisa bikin versi yg gede donggg😭❣️",Shopee,5,Azarine Hydramax C Sunscreen Serum,85,dewasa muda,Jangka Panjang,recommend,Medium,Neutral
iamindahagustina,Combination,2024-08-30,"Setiap hari aku pakai sunscreen ini, apalagi di Karawang kan panas banget ya, wajib banget pakai. Yang aku suka ini tuh cepat meresap, nggak bikin kulit wajah abu-abu, ada vit C-nya, dan udah SPF 50 PA++++. The best, pokoknya aku suka banget. Kalau udah mau abis, kemasannya aku gunting jadi 2 bagian. Karena sayang banget, di dalamnya masih ada banyak 🤭😂. Pokoknya harus sampai habis!",Shopee,5,Azarine Hydramax C Sunscreen Serum,74,dewasa muda,Jangka Panjang,recommend,Medium Dark,Warm
mayha,Combination,2024-08-28,"Kalau pakai ini jadi gak perlu lagi pake vitamin c serum sebelum pake sunscreen, enakeun gampang diblend ringan gak bikin berminyak, lembab. Yang aku notice pake ini tu lama lama ga kusem tapi bantu mencerahkan wajah, dipake dibawah makeup juga masih aman di aku.",PR Package,5,Azarine Hydramax C Sunscreen Serum,68,dewasa matang,Jangka Pendek,recommend,Medium Light,Neutral
Tia_Intan,Dry,2024-09-21,"Sunscreen Azarine ini nyaman, tidak lengket ketika diapply. Teksturnya creamy, lembut dan finishnya langsung nge-set gitu jadi kerasa nyaman banget pakenya. SPF nya 50 jadi oke banget buat dipake saat ada aktivitas outdoor, dan harganya juga terjangkau.",Shopee,5,Azarine Hydramax C Sunscreen Serum,61,dewasa muda,Jangka Pendek,recommend,Medium Light,Neutral
Eli0102,Oily,2024-09-01,"Azarine hydramax c sunscreen ringan dipakenya, sydah ada kandungan vitamin C nya juga, bikin kulit terlindung dari sinar UV secara maksimal. Ada oil controlnya juga, di kulitku dia ga bikin tambah berminyak setelah diaplikasikan malah finishnya matte . Bagus buat pemakaian sehari-hari.",Indomaret,4,Azarine Hydramax C Sunscreen Serum,85,dewasa matang,Jangka Pendek,recommend,Medium Light,Cool
istyajaa,Dry,2024-09-21,"Aku pakai produk ini dari awal kuliah dan sukak bangett... karena teksturnya sangat melembabkan di kulit aku yang kering, untuk sehari-hari juga ringan banget, dipake diatas make up juga oke, gk merusak make up diatasnya. Selain itu, setelah pemakaian cukup lama aku ngerasa kulit aku cerahan banget dan gak kusam karena produk ini ada kandungan vitamin C yang bikin kuliat aku tampak sehat dan cerah",Shopee,5,Azarine Hydramax C Sunscreen Serum,61,dewasa muda,Jangka Panjang,recommend,Medium Light,Neutral
cibed,Dry,2024-09-03,"Gue menyadari sih kulit kering itu cenderung kusem makanya gue milih produk skincare yang ada kandung Vitamin C nya. Termasuk sunscreen! It works excellently for my skin. Teksturnya ringan dan ada sensasi dinginnya plus cepet meresap, dan ga ada whitecase.",Shopee,5,Azarine Hydramax C Sunscreen Serum,68,dewasa matang,Jangka Pendek,recommend,Medium,Neutral
abiabigail,Combination,2024-09-27,"Azarine sunscreen yang aki butuhkan untuk kulit sensitive ku, melindungi dari sinar matahari ketika ada di outdoor, bikin gak was was ketika sudah di luar ruangan, dan produk ini sudah aku pake setahun",Shopee,5,Azarine Hydramax C Sunscreen Serum,66,dewasa matang,Jangka Menengah,recommend,Medium Light,Neutral
khoirinida,Combination,2024-09-26,"Sunscreen spf 50 yg ringan, no whitecast, ga kerasa berat. Di wajah juga ga lengket dan gampang nyerepnya! Udah repurchase ini berkali2, harga juga masih terjangkau bgtttt. Btw kulit aku normal to oily, pake ini cocok2 aja. Sampe skrg blm pindah ss yg lain sih",Shopee,5,Azarine Hydramax C Sunscreen Serum,41,dewasa muda,Jangka Menengah,recommend,Medium,Warm
